AÑO;DISTRITO;ESPECIE CANINA;ESPECIE FELINA
2018;ARGANZUELA;10622;4458
2018;BARAJAS;5203;1300
2018;CARABANCHEL;20265;5524
2018;CENTRO;15881;8186
2018;CHAMARTÍN;11417;3601
2018;CHAMBERÍ;13615;4087
2018;CIUDAD LINEAL;17375;7226
2018;FUENCARRAL-EL PARDO;17645;5558
2018;HORTALEZA;15965;7797
2018;LATINA;19282;7990
2018;MONCLOA-ARAVACA;12462;3453
2018;MORATALAZ;6831;2279
2018;PUENTE DE VALLECAS;23526;5138
2018;RETIRO;7955;2773
2018;SALAMANCA;13312;4520
2018;SAN BLAS;14202;4433
2018;TETUÁN;12478;4763
2018;USERA;12475;2419
2018;VICÁLVARO;5393;1279
2018;VILLA DE VALLECAS;9857;2467
2018;VILLAVERDE;12699;2307
2017;ARGANZUELA;10808;3668
2017;BARAJAS;5270;1064
2017;CARABANCHEL;19964;4263
2017;CENTRO;15775;6752
2017;CHAMARTÍN;11894;3123
2017;CHAMBERÍ;13804;3424
2017;CIUDAD LINEAL;17799;6273
2017;FUENCARRAL-EL PARDO;18302;4760
2017;HORTALEZA;16558;6748
2017;LATINA;18898;4708
2017;MONCLOA-ARAVACA;12738;2776
2017;MORATALAZ;6985;1909
2017;PUENTE DE VALLECAS;23860;3961
2017;RETIRO;8309;2313
2017;SALAMANCA;13205;3797
2017;SAN BLAS;14206;3572
2017;TETUÁN;12583;3851
2017;USERA;12623;1847
2017;VICÁLVARO;5559;1009
2017;VILLA DE VALLECAS;9646;1875
2017;VILLAVERDE;12553;1737
2016;ARGANZUELA;10591;3202
2016;BARAJAS;5173;981
2016;CARABANCHEL;19275;3728
2016;CENTRO;15470;6164
2016;CHAMARTÍN;11759;2809
2016;CHAMBERÍ;13461;2979
2016;CIUDAD LINEAL;17558;5774
2016;FUENCARRAL-EL PARDO;17975;4284
2016;HORTALEZA;16451;6200
2016;LATINA;18434;3863
2016;MONCLOA-ARAVACA;12600;2368
2016;MORATALAZ;6822;1756
2016;PUENTE DE VALLECAS;23507;3455
2016;RETIRO;8183;2061
2016;SALAMANCA;12709;3424
2016;SAN BLAS;13508;3170
2016;TETUÁN;12427;3424
2016;USERA;12430;1607
2016;VICÁLVARO;5344;890
2016;VILLA DE VALLECAS;9124;1575
2016;VILLAVERDE;11969;1446
2015;ARGANZUELA;9789;1939
2015;BARAJAS;5217;663
2015;CARABANCHEL;18031;2397
2015;CENTRO;13505;3540
2015;CHAMARTÍN;13159;1860
2015;CHAMBERÍ;14176;1939
2015;CIUDAD LINEAL;17882;4192
2015;FUENCARRAL-EL PARDO;18305;2819
2015;HORTALEZA;16888;4927
2015;LATINA;18529;2595
2015;MONCLOA-ARAVACA;12692;1578
2015;MORATALAZ;6881;1173
2015;PUENTE DE VALLECAS;22765;2117
2015;RETIRO;8883;1391
2015;SALAMANCA;13159;1860
2015;SAN BLAS;13067;2188
2015;TETUÁN;12502;2204
2015;USERA;11641;992
2015;VICÁLVARO;4702;545
2015;VILLA DE VALLECAS;7416;975
2015;VILLAVERDE;11092;897
2014;ARGANZUELA;9595;1853
2014;BARAJAS;5233;659
2014;CARABANCHEL;17525;2360
2014;CENTRO;13285;3460
2014;CHAMARTÍN;12942;1793
2014;CHAMBERÍ;13869;1902
2014;CIUDAD LINEAL;17604;3042
2014;FUENCARRAL EL PARDO;18033;2790
2014;HORTALEZA;16476;4761
2014;LATINA;18106;2533
2014;MONCLOA-ARAVACA;12398;1548
2014;MORATALAZ;6706;1153
2014;PUENTE DE VALLECAS;22072;2065
2014;RETIRO;8774;1344
2014;SALAMANCA;12942;1793
2014;SAN BLAS;12786;2043
2014;TETUÁN;12301;2178
2014;USERA;11310;978
2014;VICÁLVARO;4584;505
2014;VILLA DE VALLECAS;7107;940
2014;VILLAVERDE;10467;851
